"","lambda","n","source","metric","value"
"85",-1,"n = 250","quant(P boot)","coverage",0.95
"86",-1,"n = 250","quant(P boot)","width",0.441054870699412
"87",-1,"n = 1000","quant(P boot)","coverage",0.95
"88",-1,"n = 1000","quant(P boot)","width",0.218180219937935
"89",-0.5,"n = 50","quant(P boot)","coverage",0.88
"90",-0.5,"n = 50","quant(P boot)","width",0.987143315539234
"91",-0.5,"n = 100","quant(P boot)","coverage",0.9
"92",-0.5,"n = 100","quant(P boot)","width",0.65128708558732
"93",-0.5,"n = 250","quant(P boot)","coverage",0.9
"94",-0.5,"n = 250","quant(P boot)","width",0.394471855265136
"95",-0.5,"n = 1000","quant(P boot)","coverage",0.96
"96",-0.5,"n = 1000","quant(P boot)","width",0.195611404600916
"97",0,"n = 50","quant(P boot)","coverage",0.87
"98",0,"n = 50","quant(P boot)","width",0.941371779705226
"99",0,"n = 100","quant(P boot)","coverage",0.9
"100",0,"n = 100","quant(P boot)","width",0.606976086990235
"101",0,"n = 250","quant(P boot)","coverage",0.93
"102",0,"n = 250","quant(P boot)","width",0.362290007162553
"103",0,"n = 1000","quant(P boot)","coverage",0.9
"104",0,"n = 1000","quant(P boot)","width",0.179248330451717
"105",0.5,"n = 50","quant(P boot)","coverage",0.83
"106",0.5,"n = 50","quant(P boot)","width",0.918140510368672
"107",0.5,"n = 100","quant(P boot)","coverage",0.84
"108",0.5,"n = 100","quant(P boot)","width",0.571817551913419
"109",0.5,"n = 250","quant(P boot)","coverage",0.95
"110",0.5,"n = 250","quant(P boot)","width",0.346144486153288
"111",0.5,"n = 1000","quant(P boot)","coverage",0.92
"112",0.5,"n = 1000","quant(P boot)","width",0.169424397335583
"113",1,"n = 50","quant(P boot)","coverage",0.79
"114",1,"n = 50","quant(P boot)","width",0.953165317417761
"115",1,"n = 100","quant(P boot)","coverage",0.84
"116",1,"n = 100","quant(P boot)","width",0.586327628344972
"117",1,"n = 250","quant(P boot)","coverage",0.92
"118",1,"n = 250","quant(P boot)","width",0.343173883537215
"119",1,"n = 1000","quant(P boot)","coverage",0.92
"120",1,"n = 1000","quant(P boot)","width",0.167797158210034
"121",-1,"n = 50","lmom(NP boot)","coverage",0
"122",-1,"n = 50","lmom(NP boot)","width",0.286619781909516
"123",-1,"n = 100","lmom(NP boot)","coverage",0
"124",-1,"n = 100","lmom(NP boot)","width",0.224582788118303
"125",-1,"n = 250","lmom(NP boot)","coverage",0
"126",-1,"n = 250","lmom(NP boot)","width",0.171829653276641
"127",-1,"n = 1000","lmom(NP boot)","coverage",0
"128",-1,"n = 1000","lmom(NP boot)","width",0.110692614186815
"129",-0.5,"n = 50","lmom(NP boot)","coverage",0.84
"130",-0.5,"n = 50","lmom(NP boot)","width",0.34318496891051
"131",-0.5,"n = 100","lmom(NP boot)","coverage",0.78
"132",-0.5,"n = 100","lmom(NP boot)","width",0.270272637700891
"133",-0.5,"n = 250","lmom(NP boot)","coverage",0.83
"134",-0.5,"n = 250","lmom(NP boot)","width",0.189531677938554
"135",-0.5,"n = 1000","lmom(NP boot)","coverage",0.85
"136",-0.5,"n = 1000","lmom(NP boot)","width",0.104981058256204
"137",0,"n = 50","lmom(NP boot)","coverage",0.95
"138",0,"n = 50","lmom(NP boot)","width",0.30308393119544
"139",0,"n = 100","lmom(NP boot)","coverage",0.9
"140",0,"n = 100","lmom(NP boot)","width",0.214538290826876
"141",0,"n = 250","lmom(NP boot)","coverage",0.94
"142",0,"n = 250","lmom(NP boot)","width",0.137380351997304
"143",0,"n = 1000","lmom(NP boot)","coverage",0.96
"144",0,"n = 1000","lmom(NP boot)","width",0.069344389665226
"145",0.5,"n = 50","lmom(NP boot)","coverage",0.96
"146",0.5,"n = 50","lmom(NP boot)","width",0.297222028979478
"147",0.5,"n = 100","lmom(NP boot)","coverage",0.95
"148",0.5,"n = 100","lmom(NP boot)","width",0.201782446695082
"149",0.5,"n = 250","lmom(NP boot)","coverage",0.98
"150",0.5,"n = 250","lmom(NP boot)","width",0.127093305308242
"151",0.5,"n = 1000","lmom(NP boot)","coverage",0.95
"152",0.5,"n = 1000","lmom(NP boot)","width",0.0618757543037947
"153",1,"n = 50","lmom(NP boot)","coverage",0.92
"154",1,"n = 50","lmom(NP boot)","width",0.338546464855408
"155",1,"n = 100","lmom(NP boot)","coverage",0.96
"156",1,"n = 100","lmom(NP boot)","width",0.217652983164413
"157",1,"n = 250","lmom(NP boot)","coverage",0.99
"158",1,"n = 250","lmom(NP boot)","width",0.136325575567938
"159",1,"n = 1000","lmom(NP boot)","coverage",0.93
"160",1,"n = 1000","lmom(NP boot)","width",0.0666155227986222
"161",-1,"n = 50","lmom(P boot)","coverage",0
"162",-1,"n = 50","lmom(P boot)","width",0.450394936885896
"163",-1,"n = 100","lmom(P boot)","coverage",0
"164",-1,"n = 100","lmom(P boot)","width",0.363061039474073
"165",-1,"n = 250","lmom(P boot)","coverage",0
"166",-1,"n = 250","lmom(P boot)","width",0.2814139821454
"167",-1,"n = 1000","lmom(P boot)","coverage",0
"168",-1,"n = 1000","lmom(P boot)","width",0.203245593999196
"169",-0.5,"n = 50","lmom(P boot)","coverage",0.85
"170",-0.5,"n = 50","lmom(P boot)","width",0.435338997385553
"171",-0.5,"n = 100","lmom(P boot)","coverage",0.94
"172",-0.5,"n = 100","lmom(P boot)","width",0.335706708709431
"173",-0.5,"n = 250","lmom(P boot)","coverage",0.96
"174",-0.5,"n = 250","lmom(P boot)","width",0.234294943260888
"175",-0.5,"n = 1000","lmom(P boot)","coverage",0.95
"176",-0.5,"n = 1000","lmom(P boot)","width",0.134766015013626
"177",0,"n = 50","lmom(P boot)","coverage",0.87
"178",0,"n = 50","lmom(P boot)","width",0.313425158113955
"179",0,"n = 100","lmom(P boot)","coverage",0.97
"180",0,"n = 100","lmom(P boot)","width",0.220896496083273
"181",0,"n = 250","lmom(P boot)","coverage",0.95
"182",0,"n = 250","lmom(P boot)","width",0.137655624325693
"183",0,"n = 1000","lmom(P boot)","coverage",0.98
"184",0,"n = 1000","lmom(P boot)","width",0.0695458705408002
"185",0.5,"n = 50","lmom(P boot)","coverage",0.93
"186",0.5,"n = 50","lmom(P boot)","width",0.28987497556717
"187",0.5,"n = 100","lmom(P boot)","coverage",0.92
"188",0.5,"n = 100","lmom(P boot)","width",0.199765800896908
"189",0.5,"n = 250","lmom(P boot)","coverage",0.94
"190",0.5,"n = 250","lmom(P boot)","width",0.12510471349592
"191",0.5,"n = 1000","lmom(P boot)","coverage",0.9
"192",0.5,"n = 1000","lmom(P boot)","width",0.0618395290554477
"193",1,"n = 50","lmom(P boot)","coverage",0.9
"194",1,"n = 50","lmom(P boot)","width",0.314258957648132
"195",1,"n = 100","lmom(P boot)","coverage",0.94
"196",1,"n = 100","lmom(P boot)","width",0.214399148416294
"197",1,"n = 250","lmom(P boot)","coverage",0.95
"198",1,"n = 250","lmom(P boot)","width",0.133082383378748
"199",1,"n = 1000","lmom(P boot)","coverage",0.93
"200",1,"n = 1000","lmom(P boot)","width",0.0660040216181331
